T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene1603	NA	2.11435094014224	2.80151240824448	2.0853121586634	1.91799588692112	2.36768336847545	3.05484483657769	2.33864458699661	2.17132831525434	NA	NA	NA	NA	NA	NA
gene162	NA	NA	-7.25811534284293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1628	NA	-6.38383272555411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.30320971503997	NA	NA
gene1678	NA	NA	NA	NA	NA	NA	NA	-2.03986019190976	NA	NA	NA	NA	NA	NA	NA
gene1685	NA	5.09293017035953	NA	NA	3.41420968808768	5.45695468144258	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1695	NA	NA	NA	2.41817258450147	NA	NA	NA	2.03334752055244	NA	NA	2.576950652046	0.896070293430214	2.54369967970453	NA	-1.68088035861579
gene1711	NA	NA	NA	3.56964297068592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene173	4.6887197201679	NA	NA	8.17218484656581	3.60138397768549	NA	NA	NA	NA	NA	4.91819157135718	NA	5.82627653879287	NA	NA
gene1752	NA	NA	NA	NA	NA	-3.08500706694553	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1782	NA	NA	NA	-1.46562594973851	NA	NA	NA	NA	NA	NA	NA	NA	-1.93443385753241	NA	NA
gene1784	NA	NA	NA	-1.35968702397875	NA	NA	NA	NA	NA	NA	-1.51034935606411	NA	-1.42609588408876	NA	NA
gene1809	NA	NA	NA	-2.770413887289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1814	NA	NA	NA	NA	NA	-8.17299445823498	-8.33259379946232	-8.8610448354108	NA	NA	NA	NA	NA	NA	NA
